Node:4 | Msg:From:3 | PTZL is working on it | count:91 | RSSI:-35 | SNR:13.00 | Count:84
Node:4 | Msg:From:3 | PTZL is working on it | count:92 | RSSI:-37 | SNR:10.75 | Count:85
Node:4 | Msg:From:3 | PTZL is working on it | count:93 | RSSI:-35 | SNR:11.50 | Count:86
Node:4 | Msg:From:3 | PTZL is working on it | count:93 | RSSI:-35 | SNR:11.50 | Count:87
Node:4 | Msg:From:3 | PTZL is working on it | count:94 | RSSI:-36 | SNR:12.50 | Count:88
Node:4 | Msg:From:3 | PTZL is working on it | count:95 | RSSI:-36 | SNR:11.25 | Count:89
Node:4 | Msg:From:3 | PTZL is working on it | count:96 | RSSI:-36 | SNR:11.00 | Count:90
Node:4 | Msg:From:3 | PTZL is working on it | count:97 | RSSI:-35 | SNR:11.25 | Count:91
Node:4 | Msg:From:3 | PTZL is working on it | count:98 | RSSI:-36 | SNR:11.00 | Count:92
Node:4 | Msg:From:3 | PTZL is working on it | count:100 | RSSI:-36 | SNR:10.50 | Count:93
Node:4 | Msg:From:3 | PTZL is working on it | count:101 | RSSI:-36 | SNR:11.50 | Count:94
Node:4 | Msg:From:3 | PTZL is working on it | count:102 | RSSI:-36 | SNR:11.25 | Count:95
Node:4 | Msg:From:3 | PTZL is working on it | count:103 | RSSI:-36 | SNR:11.00 | Count:96
Node:4 | Msg:From:3 | PTZL is working on it | count:104 | RSSI:-36 | SNR:10.75 | Count:97
Node:4 | Msg:From:3 | PTZL is working on it | count:105 | RSSI:-36 | SNR:11.00 | Count:98
Node:4 | Msg:From:3 | PTZL is working on it | count:106 | RSSI:-37 | SNR:11.00 | Count:99
Node:4 | Msg:From:3 | PTZL is working on it | count:107 | RSSI:-36 | SNR:10.50 | Count:100
Node:4 | Msg:From:3 | PTZL is working on it | count:108 | RSSI:-36 | SNR:11.25 | Count:101
Node:4 | Msg:From:3 | PTZL is working on it | count:109 | RSSI:-36 | SNR:11.50 | Count:102
Node:4 | Msg:From:3 | PTZL is working on it | count:110 | RSSI:-36 | SNR:11.25 | Count:103
Node:4 | Msg:From:3 | PTZL is working on it | count:111 | RSSI:-36 | SNR:10.75 | Count:104
Node:4 | Msg:From:3 | PTZL is working on it | count:112 | RSSI:-36 | SNR:10.75 | Count:105
Node:4 | Msg:From:3 | PTZL is working on it | count:113 | RSSI:-36 | SNR:11.00 | Count:106
Node:4 | Msg:From:3 | PTZL is working on it | count:114 | RSSI:-36 | SNR:10.25 | Count:107
Node:4 | Msg:From:3 | PTZL is working on it | count:115 | RSSI:-37 | SNR:10.50 | Count:108
Node:4 | Msg:From:3 | PTZL is working on it | count:116 | RSSI:-36 | SNR:11.25 | Count:109
Node:4 | Msg:From:3 | PTZL is working on it | count:117 | RSSI:-36 | SNR:11.25 | Count:110
Node:4 | Msg:From:3 | PTZL is working on it | count:118 | RSSI:-36 | SNR:10.75 | Count:111
Node:4 | Msg:From:3 | PTZL is working on it | count:121 | RSSI:-36 | SNR:10.25 | Count:112
Node:4 | Msg:From:3 | PTZL is working on it | count:122 | RSSI:-37 | SNR:11.25 | Count:113
Node:4 | Msg:From:3 | PTZL is working on it | count:123 | RSSI:-36 | SNR:10.75 | Count:114
Node:4 | Msg:From:3 | PTZL is working on it | count:124 | RSSI:-36 | SNR:10.75 | Count:115
Node:4 | Msg:From:3 | PTZL is working on it | count:125 | RSSI:-36 | SNR:10.50 | Count:116
Node:4 | Msg:From:3 | PTZL is working on it | count:126 | RSSI:-36 | SNR:11.00 | Count:117
Node:4 | Msg:From:3 | PTZL is working on it | count:127 | RSSI:-36 | SNR:11.00 | Count:118
Node:4 | Msg:From:3 | PTZL is working on it | count:128 | RSSI:-36 | SNR:10.50 | Count:119
Node:4 | Msg:From:3 | PTZL is working on it | count:129 | RSSI:-36 | SNR:10.75 | Count:120
Node:4 | Msg:From:3 | PTZL is working on it | count:130 | RSSI:-36 | SNR:10.50 | Count:121
Node:4 | Msg:From:3 | PTZL is working on it | count:131 | RSSI:-36 | SNR:11.00 | Count:122
Node:4 | Msg:From:3 | PTZL is working on it | count:132 | RSSI:-36 | SNR:10.25 | Count:123
Node:4 | Msg:From:3 | PTZL is working on it | count:133 | RSSI:-36 | SNR:10.00 | Count:124
Node:4 | Msg:From:3 | PTZL is working on it | count:134 | RSSI:-37 | SNR:10.50 | Count:125
Node:4 | Msg:From:3 | PTZL is working on it | count:135 | RSSI:-36 | SNR:10.75 | Count:126
Node:4 | Msg:From:3 | PTZL is working on it | count:136 | RSSI:-36 | SNR:10.75 | Count:127
Node:4 | Msg:From:3 | PTZL is working on it | count:137 | RSSI:-36 | SNR:10.75 | Count:128
Node:4 | Msg:From:3 | PTZL is working on it | count:138 | RSSI:-37 | SNR:10.25 | Count:129
Node:4 | Msg:From:3 | PTZL is working on it | count:139 | RSSI:-36 | SNR:10.50 | Count:130
Node:4 | Msg:From:3 | PTZL is working on it | count:140 | RSSI:-36 | SNR:10.50 | Count:131
Node:4 | Msg:From:3 | PTZL is working on it | count:141 | RSSI:-37 | SNR:10.25 | Count:132
Node:4 | Msg:From:3 | PTZL is working on it | count:142 | RSSI:-41 | SNR:12.00 | Count:133
Node:4 | Msg:From:3 | PTZL is working on it | count:143 | RSSI:-39 | SNR:9.25 | Count:134
Node:4 | Msg:From:3 | PTZL is working on it | count:144 | RSSI:-36 | SNR:10.75 | Count:135
Node:4 | Msg:From:3 | PTZL is working on it | count:145 | RSSI:-36 | SNR:10.50 | Count:136
Node:4 | Msg:From:3 | PTZL is working on it | count:146 | RSSI:-36 | SNR:11.00 | Count:137
Node:4 | Msg:From:3 | PTZL is working on it | count:147 | RSSI:-36 | SNR:10.75 | Count:138
Node:4 | Msg:From:3 | PTZL is working on it | count:148 | RSSI:-36 | SNR:10.50 | Count:139
Node:4 | Msg:From:3 | PTZL is working on it | count:149 | RSSI:-36 | SNR:11.50 | Count:140
Node:4 | Msg:From:3 | PTZL is working on it | count:150 | RSSI:-36 | SNR:10.75 | Count:141
Node:4 | Msg:From:3 | PTZL is working on it | count:151 | RSSI:-36 | SNR:11.25 | Count:142
Node:4 | Msg:From:3 | PTZL is working on it | count:152 | RSSI:-34 | SNR:11.50 | Count:143
Node:4 | Msg:From:3 | PTZL is working on it | count:153 | RSSI:-36 | SNR:10.50 | Count:144
Node:4 | Msg:From:3 | PTZL is working on it | count:154 | RSSI:-36 | SNR:10.75 | Count:145
Node:4 | Msg:From:3 | PTZL is working on it | count:155 | RSSI:-36 | SNR:10.50 | Count:146
Node:4 | Msg:From:3 | PTZL is working on it | count:156 | RSSI:-36 | SNR:11.00 | Count:147
Node:4 | Msg:From:3 | PTZL is working on it | count:157 | RSSI:-36 | SNR:11.00 | Count:148
Node:4 | Msg:From:3 | PTZL is working on it | count:158 | RSSI:-36 | SNR:11.25 | Count:149
Node:4 | Msg:From:3 | PTZL is working on it | count:160 | RSSI:-37 | SNR:10.00 | Count:150
Node:4 | Msg:From:3 | PTZL is working on it | count:161 | RSSI:-35 | SNR:10.75 | Count:151
Node:4 | Msg:From:3 | PTZL is working on it | count:162 | RSSI:-34 | SNR:9.75 | Count:152
Node:4 | Msg:From:3 | PTZL is working on it | count:163 | RSSI:-34 | SNR:10.50 | Count:153
Node:4 | Msg:From:3 | PTZL is working on it | count:164 | RSSI:-35 | SNR:10.75 | Count:154
Node:4 | Msg:From:3 | PTZL is working on it | count:165 | RSSI:-36 | SNR:11.00 | Count:155
Node:4 | Msg:From:3 | PTZL is working on it | count:166 | RSSI:-38 | SNR:9.75 | Count:156
Node:4 | Msg:From:3 | PTZL is working on it | count:167 | RSSI:-38 | SNR:9.25 | Count:157
Node:4 | Msg:From:3 | PTZL is working on it | count:168 | RSSI:-37 | SNR:9.75 | Count:158
Node:4 | Msg:From:3 | PTZL is working on it | count:169 | RSSI:-38 | SNR:9.50 | Count:159
Node:4 | Msg:From:3 | PTZL is working on it | count:170 | RSSI:-36 | SNR:11.75 | Count:160
Node:4 | Msg:From:3 | PTZL is working on it | count:170 | RSSI:-36 | SNR:11.75 | Count:161
Node:4 | Msg:From:3 | PTZL is working on it | count:171 | RSSI:-37 | SNR:10.50 | Count:162
Node:4 | Msg:From:3 | PTZL is working on it | count:172 | RSSI:-35 | SNR:10.75 | Count:163
Node:4 | Msg:From:3 | PTZL is working on it | count:173 | RSSI:-38 | SNR:9.25 | Count:164
Node:4 | Msg:From:3 | PTZL is working on it | count:174 | RSSI:-38 | SNR:9.00 | Count:165
Node:4 | Msg:From:3 | PTZL is working on it | count:175 | RSSI:-38 | SNR:9.00 | Count:166
Node:4 | Msg:From:3 | PTZL is working on it | count:176 | RSSI:-39 | SNR:9.50 | Count:167
Node:4 | Msg:From:3 | PTZL is working on it | count:177 | RSSI:-39 | SNR:9.00 | Count:168
Node:4 | Msg:From:3 | PTZL is working on it | count:178 | RSSI:-38 | SNR:8.75 | Count:169
Node:4 | Msg:From:3 | PTZL is working on it | count:179 | RSSI:-38 | SNR:9.50 | Count:170
Node:4 | Msg:From:3 | PTZL is working on it | count:181 | RSSI:-36 | SNR:9.50 | Count:171
Node:4 | Msg:From:3 | PTZL is working on it | count:182 | RSSI:-38 | SNR:9.75 | Count:172
Node:4 | Msg:From:3 | PTZL is working on it | count:183 | RSSI:-39 | SNR:10.00 | Count:173
Node:4 | Msg:From:3 | PTZL is working on it | count:184 | RSSI:-37 | SNR:9.75 | Count:174
Node:4 | Msg:From:3 | PTZL is working on it | count:185 | RSSI:-38 | SNR:9.00 | Count:175
Node:4 | Msg:From:3 | PTZL is working on it | count:186 | RSSI:-37 | SNR:9.75 | Count:176
Node:4 | Msg:From:3 | PTZL is working on it | count:187 | RSSI:-37 | SNR:9.25 | Count:177
Node:4 | Msg:From:3 | PTZL is working on it | count:188 | RSSI:-40 | SNR:10.00 | Count:178
Node:4 | Msg:From:3 | PTZL is working on it | count:189 | RSSI:-38 | SNR:9.25 | Count:179
Node:4 | Msg:From:3 | PTZL is working on it | count:191 | RSSI:-38 | SNR:9.25 | Count:180
Node:4 | Msg:From:3 | PTZL is working on it | count:192 | RSSI:-45 | SNR:9.50 | Count:181
Node:4 | Msg:From:3 | PTZL is working on it | count:193 | RSSI:-44 | SNR:9.25 | Count:182
Node:4 | Msg:From:3 | PTZL is working on it | count:194 | RSSI:-44 | SNR:9.25 | Count:183
Node:4 | Msg:From:3 | PTZL is working on it | count:2 | RSSI:-40 | SNR:8.50 | Count:1
Node:4 | Msg:From:3 | PTZL is working on it | count:3 | RSSI:-41 | SNR:8.00 | Count:2
Node:4 | Msg:From:3 | PTZL is working on it | count:4 | RSSI:-40 | SNR:8.25 | Count:3
Node:4 | Msg:From:3 | PTZL is working on it | count:5 | RSSI:-61 | SNR:8.75 | Count:4
Node:4 | Msg:From:3 | PTZL is working on it | count:6 | RSSI:-62 | SNR:8.50 | Count:5
Node:4 | Msg:From:3 | PTZL is working on it | count:7 | RSSI:-62 | SNR:9.00 | Count:6
Node:4 | Msg:From:3 | PTZL is working on it | count:8 | RSSI:-59 | SNR:10.50 | Count:7
Node:4 | Msg:From:3 | PTZL is working on it | count:9 | RSSI:-64 | SNR:8.75 | Count:8
Node:4 | Msg:From:3 | PTZL is working on it | count:10 | RSSI:-59 | SNR:9.00 | Count:9
Node:4 | Msg:From:3 | PTZL is working on it | count:11 | RSSI:-63 | SNR:10.75 | Count:10
Node:4 | Msg:From:3 | PTZL is working on it | count:12 | RSSI:-56 | SNR:8.25 | Count:11
Node:4 | Msg:From:3 | PTZL is working on it | count:13 | RSSI:-57 | SNR:9.00 | Count:12
Node:4 | Msg:From:3 | PTZL is working on it | count:14 | RSSI:-58 | SNR:10.00 | Count:13
Node:4 | Msg:From:3 | PTZL is working on it | count:15 | RSSI:-57 | SNR:9.25 | Count:14
Node:4 | Msg:From:3 | PTZL is working on it | count:16 | RSSI:-59 | SNR:8.75 | Count:15
Node:4 | Msg:From:3 | PTZL is working on it | count:17 | RSSI:-59 | SNR:8.50 | Count:16
Node:4 | Msg:From:3 | PTZL is working on it | count:18 | RSSI:-61 | SNR:8.00 | Count:17
Node:4 | Msg:From:3 | PTZL is working on it | count:19 | RSSI:-60 | SNR:8.75 | Count:18
Node:4 | Msg:From:3 | PTZL is working on it | count:20 | RSSI:-66 | SNR:8.50 | Count:19
